16/03/18 09:00:08 INFO input.FileInputFormat: Total input paths to process : 1
16/03/18 09:02:31 INFO partition.InputSampler: Using 1000 samples
16/03/18 09:02:31 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
16/03/18 09:02:31 INFO compress.CodecPool: Got brand-new compressor [.deflate]
16/03/18 09:02:31 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-91-90-244.compute-1.amazonaws.com/172.31.8.8:8032
16/03/18 09:02:32 INFO input.FileInputFormat: Total input paths to process : 1
16/03/18 09:02:32 INFO mapreduce.JobSubmitter: number of splits:7451
16/03/18 09:02:32 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1458275717251_0004
16/03/18 09:02:32 INFO impl.YarnClientImpl: Submitted application application_1458275717251_0004
16/03/18 09:02:32 INFO mapreduce.Job: The url to track the job: http://ec2-52-91-90-244.compute-1.amazonaws.com:8088/proxy/application_1458275717251_0004/
16/03/18 09:02:32 INFO mapreduce.Job: Running job: job_1458275717251_0004
16/03/18 09:02:38 INFO mapreduce.Job: Job job_1458275717251_0004 running in uber mode : false
16/03/18 09:02:38 INFO mapreduce.Job:  map 0% reduce 0%
16/03/18 09:03:02 INFO mapreduce.Job:  map 1% reduce 0%
16/03/18 09:03:23 INFO mapreduce.Job:  map 2% reduce 0%
16/03/18 09:03:48 INFO mapreduce.Job:  map 3% reduce 0%
16/03/18 09:04:07 INFO mapreduce.Job:  map 4% reduce 0%
16/03/18 09:04:32 INFO mapreduce.Job:  map 5% reduce 0%
16/03/18 09:04:51 INFO mapreduce.Job:  map 6% reduce 0%
16/03/18 09:05:17 INFO mapreduce.Job:  map 7% reduce 0%
16/03/18 09:05:36 INFO mapreduce.Job:  map 8% reduce 0%
16/03/18 09:06:02 INFO mapreduce.Job:  map 9% reduce 0%
16/03/18 09:06:30 INFO mapreduce.Job:  map 10% reduce 0%
16/03/18 09:06:49 INFO mapreduce.Job:  map 11% reduce 0%
16/03/18 09:07:10 INFO mapreduce.Job:  map 11% reduce 1%
16/03/18 09:07:16 INFO mapreduce.Job:  map 12% reduce 1%
16/03/18 09:07:36 INFO mapreduce.Job:  map 13% reduce 1%
16/03/18 09:08:04 INFO mapreduce.Job:  map 14% reduce 1%
16/03/18 09:08:24 INFO mapreduce.Job:  map 15% reduce 1%
